epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1338.27,1.01466,1.47475,1.4585,0.70318,0.46372,0.53596,0.36034,1.23344,1.71926,1.58166,3.33272e-05,3.33272e-05,0.0667061
2,2574.97,0.87085,1.068,1.33205,0.6468,0.53574,0.5656,0.39147,1.19506,1.63088,1.55214,6.66492e-05,6.66492e-05,0.0334061
3,3783.42,0.81183,0.91166,1.27821,0.69137,0.53647,0.5965,0.41301,1.17047,1.47282,1.53192,9.99261e-05,9.99261e-05,0.000106039
4,1124.62,0.78338,0.84438,1.25154,0.71211,0.50678,0.59125,0.41491,1.15998,1.54407,1.53014,9.98474e-05,9.98474e-05,9.98474e-05
5,2252.79,0.75477,0.78684,1.23258,0.67028,0.50904,0.5872,0.41235,1.18089,1.55121,1.54429,9.97288e-05,9.97288e-05,9.97288e-05
6,3380.41,0.72235,0.72736,1.20451,0.63684,0.54032,0.59039,0.40966,1.19771,1.56985,1.56341,9.95765e-05,9.95765e-05,9.95765e-05
7,4503.42,0.76405,0.79677,1.23492,0.64256,0.54618,0.59175,0.41102,1.18625,1.56852,1.53705,9.93906e-05,9.93906e-05,9.93906e-05
8,5628.88,0.75648,0.7802,1.23047,0.68003,0.5288,0.5895,0.41244,1.18321,1.54067,1.53544,9.91711e-05,9.91711e-05,9.91711e-05
9,6753.47,0.7557,0.78288,1.22609,0.6396,0.52486,0.59207,0.41076,1.18355,1.55421,1.54519,9.89183e-05,9.89183e-05,9.89183e-05
10,7878.83,0.73656,0.74871,1.21445,0.7201,0.49312,0.57518,0.40048,1.18101,1.699,1.53841,9.86323e-05,9.86323e-05,9.86323e-05
11,9003.46,0.73552,0.748,1.21313,0.66642,0.51065,0.57729,0.41027,1.18229,1.62596,1.55015,9.83133e-05,9.83133e-05,9.83133e-05
12,10131,0.72569,0.7335,1.20099,0.65051,0.5157,0.56521,0.39638,1.20158,1.68245,1.56267,9.79616e-05,9.79616e-05,9.79616e-05
13,11255.1,0.72684,0.7198,1.20505,0.7029,0.50772,0.57638,0.40113,1.20115,1.62839,1.55643,9.75773e-05,9.75773e-05,9.75773e-05
14,12381,0.72478,0.72664,1.20334,0.6551,0.5103,0.57663,0.40245,1.19762,1.64525,1.54979,9.71608e-05,9.71608e-05,9.71608e-05
15,13505.6,0.72052,0.70962,1.19461,0.69289,0.50453,0.58178,0.41012,1.20545,1.63609,1.5647,9.67122e-05,9.67122e-05,9.67122e-05
16,14632.9,0.72099,0.71076,1.19335,0.68592,0.50793,0.57435,0.40513,1.19537,1.65552,1.56219,9.6232e-05,9.6232e-05,9.6232e-05
17,15764.6,0.71675,0.70492,1.19782,0.68162,0.49738,0.57011,0.40022,1.20941,1.72634,1.56494,9.57205e-05,9.57205e-05,9.57205e-05
